Месячный отчет за 2022_12
Прибыль за месяц составила: 5335,52 руб.
Прибыль по дням составила:
День 1: 0,00 руб.
День 2: 0,00 руб.
День 3: 0,00 руб.
День 4: 0,00 руб.
День 5: 0,00 руб.
День 6: 0,00 руб.
День 7: 0,00 руб.
День 8: 0,47 руб.
День 9: 117,98 руб.
День 10: 0,00 руб.
День 11: 0,00 руб.
День 12: 0,00 руб.
День 13: 0,00 руб.
День 14: 4587,20 руб.
День 15: 0,00 руб.
День 16: 563,59 руб.
День 17: 0,00 руб.
День 18: 0,00 руб.
День 19: 0,00 руб.
День 20: 0,00 руб.
День 21: 0,00 руб.
День 22: 0,00 руб.
День 23: 0,00 руб.
День 24: 0,00 руб.
День 25: 0,00 руб.
День 26: 0,00 руб.
День 27: 0,00 руб.
День 28: 0,00 руб.
День 29: 0,00 руб.
День 30: 0,00 руб.
День 31: 66,28 руб.
